"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.003500003E-3,-7.100690581E-1,-2.070300257E-1,3.488787997E-1,8.177872068E-1
1.895850000E-2,-8.140474628E-1,-1.672941023E-1,3.653457284E-1,9.078205162E-1
2.891350001E-2,-8.054082017E-1,-4.949171036E-2,1.094224548E-1,8.143126392E-1
3.886850001E-2,-8.317993172E-1,2.405222923E-2,-2.301388067E-1,8.633843200E-1
4.882350001E-2,-8.172866741E-1,-8.012088776E-2,-5.746631849E-1,1.002304664E0
5.877850001E-2,-7.244621256E-1,-3.182657021E-1,-7.927497107E-1,1.120085056E0
6.873350000E-2,-6.075132079E-1,-5.979573226E-1,-8.232645750E-1,1.185069541E0
7.868850000E-2,-4.076928721E-1,-7.577465236E-1,-7.079592365E-1,1.114270861E0
8.864350000E-2,-2.732219687E-1,-7.715354276E-1,-7.883058268E-1,1.136372842E0
9.859750001E-2,-1.276557543E-1,-7.404551375E-1,-9.447282010E-1,1.207096175E0
1.085525000E-1,1.735803708E-1,-6.219876248E-1,-6.028578740E-1,8.834230961E-1
1.185075000E-1,5.262846382E-1,-5.113004172E-1,-1.308723807E-1,7.453396656E-1
1.284625000E-1,5.959630566E-1,-4.637754178E-1,-1.246977210E-2,7.552582990E-1
1.384175000E-1,4.310557877E-1,-4.828364637E-1,1.151749456E-1,6.574233118E-1
1.483725000E-1,6.946389869E-2,-4.691142181E-1,3.266242969E-1,5.758270696E-1
1.583275000E-1,-3.212537024E-1,-4.485252947E-2,6.766345328E-1,7.503665649E-1
1.682825000E-1,-6.744727441E-1,3.437718415E-1,7.740620095E-1,1.082711668E0
1.782375000E-1,-6.600354570E-1,4.811495420E-1,-1.704732335E-1,8.343936779E-1
1.881925000E-1,-2.426489611E-1,1.204415327E-1,-7.652104944E-1,8.117461314E-1
1.981465000E-1,1.666259117E-2,-1.509967428E-1,-2.091239136E-1,2.584772128E-1
2.081015000E-1,7.443560343E-2,3.761279941E-2,5.336169004E-1,5.400947863E-1
2.180565000E-1,-4.984597854E-2,1.838227192E-1,7.179918891E-1,7.428241828E-1
2.280115000E-1,-3.076988698E-1,4.655786991E-2,9.561074674E-2,3.255574368E-1
2.379665000E-1,-5.690702866E-1,-2.097247151E-1,-3.357284117E-1,6.932092134E-1
2.479215000E-1,-8.323843311E-1,-3.999878499E-1,-4.307643771E-3,9.235109693E-1
2.578765000E-1,-9.398195366E-1,-5.482627138E-1,8.888872916E-1,1.404981630E0
2.678315000E-1,-1.038675634E0,-7.561706990E-1,1.542297269E0,2.007317131E0
2.777865000E-1,-1.060470107E0,-6.833439204E-1,1.192215697E0,1.735780524E0
2.877415000E-1,-1.005542752E0,-8.872144032E-1,7.298178828E-1,1.526728452E0
2.976965000E-1,-9.985730173E-1,-8.745718458E-1,9.239542133E-1,1.617317338E0
3.076505000E-1,-5.671371605E-1,-1.421794340E-1,1.518530676E0,1.627204647E0
3.176055000E-1,-6.626213699E-2,1.374203852E-1,4.482557380E-1,4.735063249E-1
3.275605000E-1,-4.557440844E-1,-1.518779182E-1,1.139534622E-1,4.937154687E-1
3.375155000E-1,-1.083525679E0,-5.963700959E-1,-3.169114870E-1,1.276760776E0
3.474705000E-1,-1.701780075E0,-1.101587070E0,-1.013286805E0,2.266340585E0
3.574255000E-1,-2.137806947E0,-1.333492905E0,-2.157868159E0,3.317350880E0
3.673805000E-1,-2.315528973E0,-1.702810062E0,-2.622004935E0,3.890520070E0
3.773355000E-1,-2.579836569E0,-2.336794712E0,-2.253928556E0,4.146849429E0
3.872905000E-1,-2.527384706E0,-2.528901182E0,-2.221254900E0,4.209155256E0
3.972455000E-1,-2.406513257E0,-2.174147684E0,-2.699141403E0,4.219429881E0
4.072005000E-1,-2.574041686E0,-2.061667720E0,-3.080892080E0,4.513098758E0
4.171545000E-1,-3.157165500E0,-2.364008531E0,-2.506413667E0,4.673150950E0
4.271095000E-1,-3.564047509E0,-2.712813071E0,-1.016279994E0,4.592887374E0
4.370645000E-1,-3.286606775E0,-2.821341779E0,1.529257393E-1,4.334182715E0
4.470195000E-1,-3.008901161E0,-2.199969281E0,-1.669222194E-1,3.731114319E0
4.569745000E-1,-2.943627816E0,-1.997564695E0,-9.524436021E-1,3.682710719E0
4.669295000E-1,-2.188880621E0,-1.152157299E0,-9.896459270E-1,2.664219187E0
4.768845000E-1,-1.506401212E0,6.093327883E-1,-1.415205697E0,2.154840649E0
4.868395000E-1,-1.316916926E0,1.006257574E0,-2.857814956E0,3.303623892E0
4.967945000E-1,-1.792502550E0,-1.149445653E-1,-3.657930404E0,4.075135885E0
5.067495000E-1,-1.971681703E0,-1.281915493E0,-3.180283636E0,3.955381154E0
5.167045000E-1,2.314936066E-1,-1.251391273E0,-1.635473235E0,2.072279448E0
5.266595000E-1,7.042085985E0,-5.576700068E-1,1.936860949E-1,7.066787471E0
5.366135000E-1,7.544861746E0,2.383734405E-1,1.664132193E0,7.729883351E0
5.465685000E-1,5.797339488E0,7.796507782E-1,3.164016683E0,6.650413674E0
5.565235000E-1,3.929471006E0,8.941603106E-1,2.664893092E0,4.831347663E0
5.664785000E-1,2.200155807E0,7.063272786E-1,1.529208276E0,2.770931568E0
5.764335000E-1,1.783993682E0,2.343859318E-1,7.487757254E-1,1.948906182E0
5.863885000E-1,1.538206556E0,-2.473246506E-1,-6.191815460E-1,1.676494760E0
5.963435000E-1,-2.874451454E0,-6.451057613E-2,-5.939481207E0,6.598793055E0
6.062985000E-1,-2.692855062E0,1.053295793E0,-2.623262086E0,3.904152198E0
6.162535000E-1,-2.960890258E0,2.814987025E-1,1.188844192E-1,2.976616560E0
6.262085000E-1,-3.812713219E0,-9.892693663E-1,2.034451563E0,4.433331606E0
6.361635000E-1,-4.918333406E0,-1.586461288E0,5.481879280E0,7.533781477E0
6.461175000E-1,-5.541260093E0,-2.539862664E0,6.968547893E0,9.258354363E0
6.560725000E-1,-5.423319415E0,-3.011160817E0,5.351117411E0,8.192309839E0
6.660275000E-1,-4.863726844E0,-2.957879234E0,3.566102221E0,6.717289143E0
6.759825000E-1,-4.807944406E0,-4.176536917E0,4.511281827E0,7.804579025E0
