"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.261624978E-3,-1.239854717E0,-3.839135617E-1,-4.834916443E-1,1.385060833E0
1.627262501E-2,-9.623692507E-1,-2.716648552E-1,-2.827526379E-1,1.039184980E0
2.628362499E-2,-5.561088002E-1,2.271497101E-2,-5.458083451E-2,5.592423759E-1
3.629562497E-2,2.293277979E-2,2.102886790E-1,1.237931567E-1,2.450958722E-1
4.630662501E-2,4.840392360E-1,3.040090209E-1,2.540445632E-1,6.255030830E-1
5.631862499E-2,5.614163178E-1,2.524035421E-1,4.556466186E-1,7.658391940E-1
6.632962497E-2,6.811737263E-1,2.741291642E-1,6.639191777E-1,9.899157129E-1
7.634162501E-2,9.179605249E-1,4.743992239E-1,8.552517682E-1,1.341328348E0
8.635262499E-2,7.663141564E-1,3.172883400E-1,1.169968210E0,1.434132104E0
9.636462497E-2,4.126856634E-1,2.647566622E-1,1.101902527E0,1.206065805E0
1.063756250E-1,-1.185958591E-1,2.615336770E-1,6.005026156E-1,6.656337081E-1
1.163876250E-1,-5.046044782E-1,2.281478298E-1,3.616327465E-2,5.549638673E-1
1.263986250E-1,-7.750604215E-1,2.727571151E-1,-5.938958466E-1,1.013818217E0
1.364106250E-1,-8.513323796E-1,4.063823649E-1,-1.203645249E0,1.529272812E0
1.464216250E-1,-1.249040400E0,-2.528605020E-1,-1.286891474E0,1.811112923E0
1.564336250E-1,-1.435690833E0,2.491744173E-1,-7.229795641E-1,1.626651624E0
1.664446250E-1,-8.535236236E-1,2.078720248E-1,-4.996632886E-1,1.010631860E0
1.764566250E-1,-3.903840905E-1,-3.157408744E-1,-3.678886825E-1,6.224420621E-1
1.864676250E-1,-3.694566134E-1,5.918808961E-1,-8.435836494E-2,7.028068853E-1
1.964786250E-1,-4.842517823E-2,7.505257970E-1,-2.458046669E-1,7.912356818E-1
2.064906250E-1,-1.218741006E-1,2.322122294E-1,-4.422740364E-1,5.141810373E-1
2.165016250E-1,-7.178310907E-1,3.020730078E-2,-5.299881184E-1,8.927941316E-1
2.265136250E-1,-9.982544902E-1,-6.769306943E-2,-5.817061561E-1,1.157357521E0
2.365246250E-1,-8.526941961E-1,1.397367597E-2,2.395569170E-1,8.858161052E-1
2.465366250E-1,8.206245571E-2,5.962361947E-2,1.109332584E0,1.113960504E0
2.565476250E-1,1.761181062E0,-5.907224165E-1,9.783327341E-1,2.099487234E0
2.665596250E-1,3.434768495E0,1.746139392E-2,8.658960396E-1,3.542275464E0
2.765706250E-1,3.372513775E0,1.394512401E0,1.792904838E0,4.066081868E0
2.865826250E-1,2.035370160E0,1.878516846E0,5.671143710E0,6.311372926E0
2.965936250E-1,2.135787318E0,-6.038964857E-1,8.165473521E0,8.461751371E0
3.066056250E-1,4.121910182E0,-4.114958720E0,2.159706523E0,6.211872590E0
3.166171250E-1,2.455213108E0,-5.935303372E0,-1.864735544E-2,6.423102462E0
3.266291250E-1,1.034981436E0,-5.788637077E0,-2.043624675E0,6.225424290E0
3.366401250E-1,1.068125501E-1,-3.925922038E0,-5.796286404E0,7.001514754E0
3.466511250E-1,2.789539065E0,-1.569904897E0,-8.497640394E0,9.080529822E0
3.566631250E-1,6.034347603E0,3.793524411E-1,-7.158001773E0,9.369858518E0
3.666741250E-1,8.072587577E0,1.236849833E-1,-6.345612434E0,1.026882492E1
3.766861250E-1,6.337494745E0,1.597855465E-1,-3.380057852E0,7.184299698E0
3.866971250E-1,3.875122306E-1,1.069849699E0,-3.248834054E0,3.442334501E0
3.967091250E-1,-1.967391601E0,-1.151207273E0,-4.446463103E0,4.996693108E0
4.067201250E-1,5.590387230E0,-5.859658527E0,-4.817787024E0,9.423327398E0
4.167321250E-1,3.877323490E0,-4.866886679E0,-2.883263792E0,6.858092555E0
4.267431250E-1,4.478010001E0,-5.687200164E0,-2.391283745E0,7.623323240E0
4.367551250E-1,3.619389359E0,-6.797388196E0,-3.863205680E0,8.615615111E0
4.467661250E-1,1.925202186E0,-7.284584051E0,-5.458440131E0,9.304092482E0
4.567781250E-1,9.976098347E-1,-7.875824677E0,-6.783671213E0,1.044231942E1
4.667891250E-1,2.148579857E-1,-8.340247382E0,-7.332168108E0,1.110705089E1
4.768011250E-1,-4.088957906E-1,-9.152940191E0,-6.829870648E0,1.142762631E1
4.868121250E-1,-3.397349238E-1,-1.030299629E1,-4.708344104E0,1.133294563E1
4.968241250E-1,-1.834459831E0,-1.323242210E1,-4.874542438E0,1.422052747E1
5.068351250E-1,-3.424646965E0,-1.497277684E1,-4.384421221E0,1.597295848E1
5.168461250E-1,-3.604510826E0,-1.623414054E1,-3.041598791E0,1.690535834E1
5.268581250E-1,-3.699661982E0,-1.736013418E1,-6.173887897E-1,1.776071301E1
5.368691250E-1,-3.419876221E0,-1.671526231E1,3.322669185E0,1.738205045E1
5.468811250E-1,-2.499951324E0,-1.616178943E1,6.661887159E0,1.765882031E1
5.568921250E-1,-2.353032430E0,-1.582905012E1,8.494333794E0,1.811765150E1
5.669041250E-1,-2.306636528E0,-1.561049757E1,9.401165020E0,1.836818200E1
5.769151250E-1,-7.820305949E-1,-1.487584872E1,1.006203488E1,1.797628974E1
