"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.185375004E-3,-7.708863866E-1,9.694391191E-2,-8.770753312E-1,1.171718857E0
1.114637501E-2,-6.624199516E-1,2.863080373E-1,-5.135591966E-1,8.857288145E-1
2.110737501E-2,-2.683850057E-1,2.947718820E-1,-6.864104927E-2,4.045152251E-1
3.106837501E-2,1.255638398E-1,1.058892748E-1,2.865995210E-1,3.303302920E-1
4.103037500E-2,2.709624584E-1,-1.194925296E-1,4.602951550E-1,5.473305658E-1
5.099137500E-2,2.903079714E-1,-2.791519225E-1,5.389021987E-1,6.727704615E-1
6.095237500E-2,2.931558578E-1,-3.101485974E-1,3.621905708E-1,5.597450482E-1
7.091437501E-2,3.089236057E-1,-2.949443749E-1,-3.319171965E-2,4.284012940E-1
8.087537499E-2,1.944721068E-1,-2.202885872E-1,-3.241035622E-1,4.374809494E-1
9.083637499E-2,-3.542827964E-3,-8.426013172E-2,-3.610345763E-1,3.707536739E-1
1.007983750E-1,-1.052197686E-1,3.258010089E-2,-3.756350738E-1,3.914516207E-1
1.107593750E-1,-4.860527247E-2,1.018020710E-1,-4.086408520E-1,4.239262673E-1
1.207203750E-1,6.971781403E-3,1.365722466E-1,-5.055906111E-1,5.237580074E-1
1.306823750E-1,6.374122873E-2,1.997604749E-1,-5.912453038E-1,6.273262315E-1
1.406433750E-1,8.460073203E-2,2.927309114E-1,-6.454951859E-1,7.138015868E-1
1.506043750E-1,1.140705527E-1,4.334137505E-1,-6.718906868E-1,8.076488501E-1
1.605653750E-1,1.997036107E-1,6.133828622E-1,-6.759094781E-1,9.343306108E-1
1.705273750E-1,2.557208137E-1,7.018336934E-1,-6.935639763E-1,1.019310874E0
1.804883750E-1,3.611595605E-1,6.695281193E-1,-7.373496813E-1,1.059428470E0
1.904493750E-1,4.417713220E-1,5.447605240E-1,-6.996357250E-1,9.906644625E-1
2.004113750E-1,4.597386463E-1,5.069117895E-1,-5.190298516E-1,8.589011422E-1
2.103723750E-1,4.546499607E-1,4.540520829E-1,-2.767802918E-1,6.996264794E-1
2.203333750E-1,5.656511638E-1,3.461610138E-1,-2.042409039E-1,6.939041961E-1
2.302953750E-1,6.949113210E-1,1.876880211E-1,-1.197626710E-2,7.199110835E-1
2.402563750E-1,8.691345200E-1,1.244650018E-1,5.250939989E-1,1.023039617E0
2.502173750E-1,1.069287928E0,1.291389737E-1,7.254891890E-1,1.298610069E0
2.601783750E-1,9.741877891E-1,2.905858603E-1,1.080125157E0,1.483291052E0
2.701403750E-1,4.821514624E-1,7.057437265E-1,2.236086363E0,2.393872691E0
2.801013750E-1,3.850062601E-1,4.104034951E-1,1.761919273E0,1.849600058E0
2.900623750E-1,4.843392713E-1,1.677478462E-2,1.495944636E0,1.572487290E0
3.000243750E-1,2.605251054E-1,-4.061823902E-1,1.895889509E0,1.956337009E0
3.099853750E-1,2.944803983E-3,-9.502747236E-1,2.183150935E0,2.381003722E0
3.199463750E-1,-1.583911318E-1,-1.471640830E0,3.124692403E0,3.457530491E0
3.299083750E-1,-4.582551346E-1,-1.466286973E0,5.098369761E0,5.324788209E0
3.398693750E-1,-8.205760252E-1,-1.156539641E0,5.646531025E0,5.821876121E0
3.498303750E-1,-6.174117400E-1,-9.750217482E-2,6.030560946E0,6.062868072E0
3.597923750E-1,1.238406471E-1,6.372663993E-1,4.846825467E0,4.890108595E0
3.697533750E-1,1.246461778E0,1.551910237E0,3.244657972E0,3.806559826E0
3.797143750E-1,2.140909918E0,1.875608441E0,3.939150487E0,4.859867165E0
3.896753750E-1,2.709170255E0,1.008897811E0,5.782127956E0,6.464555821E0
3.996373750E-1,3.215105852E0,-4.075026914E-2,6.195898570E0,6.980524717E0
4.095986250E-1,3.437057095E0,-5.389361856E-1,5.149846893E0,6.214880265E0
4.195596250E-1,3.121466494E0,-1.109436080E0,5.565497972E0,6.476817827E0
4.295216250E-1,-1.291913939E0,-3.969612141E0,1.171950066E1,1.244080214E1
4.394826250E-1,-2.781376352E0,-1.444816436E0,4.513841153E0,5.495298982E0
4.494436250E-1,6.262981921E-1,2.543843156E0,-2.232936468E0,3.442294685E0
4.594056250E-1,-1.459046074E0,2.732310319E0,-1.807103632E0,3.586078452E0
4.693666250E-1,-4.394941531E0,2.186594360E0,9.985313559E-1,5.009368306E0
4.793276250E-1,-5.236703188E0,1.414896672E0,3.876042657E0,6.666985793E0
4.892896250E-1,-4.059820353E0,7.503220215E-1,2.461416419E0,4.806630340E0
4.992506250E-1,-2.254305409E0,3.332516773E-1,-1.461833149E-1,2.283488367E0
5.092116250E-1,-6.747119683E-1,-4.627521185E-1,-7.897986209E-1,1.137170886E0
5.191726250E-1,-4.382131451E-1,-9.242589994E-1,-2.641395471E0,2.832535171E0
5.291346250E-1,-7.887823749E-1,-1.017825121E0,-4.980037318E0,5.143823219E0
5.390956250E-1,-1.022626270E0,-7.097511157E-1,-7.146082808E0,7.253689450E0
5.490566250E-1,-4.536842930E-1,-9.120302787E-1,-8.393651172E0,8.455235577E0
5.590186250E-1,-4.261950704E-1,-1.062412918E0,-9.472935500E0,9.541848376E0
5.689796250E-1,-7.396461752E-1,-3.847826041E-1,-1.005766467E1,1.009216293E1
5.789406250E-1,-1.062625026E0,4.076455097E-1,-9.667326769E0,9.734092339E0
5.889026250E-1,-1.123457411E0,7.925677161E-1,-8.513827241E0,8.624127459E0
5.988636250E-1,-1.160408744E0,5.344841887E-1,-8.467862864E0,8.563697991E0
6.088246250E-1,5.914503948E-1,-1.073583146E0,-6.271729941E0,6.390382680E0
6.187856250E-1,9.580819260E-1,-2.232304091E0,-7.030766945E0,7.438601103E0
6.287476250E-1,4.677687737E-1,-2.287323759E0,-8.704797304E0,9.012444381E0
6.387086250E-1,-1.303478855E-1,-2.067768120E0,-9.749211177E0,9.966934039E0
6.486696250E-1,-5.797765019E-1,-1.968431820E0,-1.017073578E1,1.037567979E1
6.586316250E-1,-8.656666095E-1,-1.774627027E0,-1.019329200E1,1.038276849E1
6.685926250E-1,-2.146962809E0,-1.216316458E0,-5.787806772E0,6.291866357E0
6.785536250E-1,-1.267995173E0,-2.590088493E0,-3.722021735E0,4.708483403E0
6.885156250E-1,-5.988258168E-1,-4.194750994E0,-4.908683161E0,6.484573898E0
6.984766250E-1,1.494683538E-1,-5.162836483E0,-5.609630417E0,7.625298338E0
7.084376250E-1,9.183060953E-1,-5.860277163E0,-5.290754850E0,7.948472897E0
7.183996250E-1,1.441630434E0,-6.179320545E0,-3.862536174E0,7.428424220E0
